FileName,RowCount,ManifestRowCount,RowCountMatch,PrimaryKeyCandidate,PrimaryKeyNullRate,ForeignKeyCandidates,DateColumn,DuplicatePKCount
carecall_contacts.csv,25942,25942,True,ContactId,0.0,CareCaseCaseId|LegendaryCareReferralId|PatientPseudoId,ContactDate,0
carecall_call_events.csv,77784,77784,True,EventId,0.0,ContactId,EventDateTime,0
carecase_cases.csv,3631,3631,True,CaseId,0.0,SourceContactId|PatientPseudoId,OpenedDateTime,0
carecase_case_events.csv,17837,17837,True,CaseEventId,0.0,CaseId,EventDateTime,0
carecase_clinician_contacts.csv,7276,7276,True,ClinicianContactId,0.0,CaseId,ContactDateTime,0
legendary_care_patients.csv,6390,6390,True,PatientPseudoId,0.0,,DateOfBirth,0
legendary_care_referrals.csv,7928,7928,True,ReferralId,0.0,PatientPseudoId|SourceCareCallContactId,ReferralDateTime,0
legendary_care_appointments.csv,10920,10920,True,AppointmentId,0.0,PatientPseudoId|ReferralId,ScheduledDateTime,0
legendary_care_encounters.csv,8158,8158,True,EncounterId,0.0,PatientPseudoId|ReferralId|SourceCareCallContactId,EncounterDateTime,0
rosterflow_staff.csv,145,145,True,SyntheticStaffId,0.0,,ActiveFrom,0
rosterflow_shifts.csv,40926,40926,True,ShiftId,0.0,SyntheticStaffId,ShiftDate,0
rosterflow_absence.csv,105,105,True,AbsenceId,0.0,SyntheticStaffId,StartDate,0
ledgerwise_cost_centres.csv,5,5,True,CostCentreCode,0.0,,,0
ledgerwise_ledger.csv,7360,7360,True,LedgerLineId,0.0,CostCentreCode,PostingDate,0
localops_user_id_mapping.xlsx,145,145,True,,,,ValidFromDate,
localops_team_mapping.xlsx,6,6,True,,,,,
localops_validation_notes.xlsx,6,6,True,,,,NoteDate,
localops_waiting_list_adjustments.xlsx,3,3,True,,,,AdjustmentDate,
localops_extract_change_log.xlsx,3,3,True,,,,ChangeDate,
